PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"40808113","Study on the Liquid Transport on the Twisted Profile Filament/Spun Combination Yarn in Knitted Fabric","Cui Y, Zhang R, Yu J.","Polymers (Basel). 2025 Jul 29;17(15):2065. doi: 10.3390/polym17152065.","Cui Y","Polymers (Basel)","2025","2025/08/14","PMC12349030","","10.3390/polym17152065"
"32059351","Effect of Weaving Structures on the Water Wicking-Evaporating Behavior of Woven Fabrics","Lei M, Li Y, Liu Y, Ma Y, Cheng L, Hu Y.","Polymers (Basel). 2020 Feb 12;12(2):422. doi: 10.3390/polym12020422.","Lei M","Polymers (Basel)","2020","2020/02/16","PMC7077655","","10.3390/polym12020422"
"41228681","Antibacterial and Moisture Transferring Properties of Functionally Integrated Knitted Firefighting Fabrics","Teng Z, Li Z, Zhang Y, Zhang C, Wang L, Li X, Jin X, Wang R.","Polymers (Basel). 2025 Oct 31;17(21):2915. doi: 10.3390/polym17212915.","Teng Z","Polymers (Basel)","2025","2025/11/13","PMC12608395","","10.3390/polym17212915"
"28190034","Wicking Tests for Unidirectional Fabrics: Measurements of Capillary Parameters to Evaluate Capillary Pressure in Liquid Composite Molding Processes","Pucci MF, Liotier PJ, Drapier S.","J Vis Exp. 2017 Jan 27;(119):55059. doi: 10.3791/55059.","Pucci MF","J Vis Exp","2017","2017/02/13","PMC5408708","","10.3791/55059"
"39600207","Stitched textile-based microfluidics for wearable devices","Hanze M, Piper A, Hamedi MM.","Lab Chip. 2024 Dec 17;25(1):28-40. doi: 10.1039/d4lc00697f.","Hanze M","Lab Chip","2024","2024/11/27","PMC11599943","","10.1039/d4lc00697f"
"36559713","Breathability and Moisture Permeability of Cellulose Nanocrystals Hollow Microsphere Coatings for PET Fabrics","Zhang F, Song B, Li Y, Zhou Y, Wang Y, Xu Q, Ma J.","Polymers (Basel). 2022 Dec 7;14(24):5345. doi: 10.3390/polym14245345.","Zhang F","Polymers (Basel)","2022","2022/12/23","PMC9788502","","10.3390/polym14245345"
"40278986","Smart Textiles for Personalized Sports and Healthcare","Xu Z, Zhang C, Wang F, Yu J, Yang G, Surmenev RA, Li Z, Ding B.","Nanomicro Lett. 2025 Apr 25;17(1):232. doi: 10.1007/s40820-025-01749-6.","Xu Z","Nanomicro Lett","2025","2025/04/25","PMC12031719","","10.1007/s40820-025-01749-6"
"33025662","Functional Fibers and Fabrics for Soft Robotics, Wearables, and Human-Robot Interface","Xiong J, Chen J, Lee PS.","Adv Mater. 2021 May;33(19):e2002640. doi: 10.1002/adma.202002640. Epub 2020 Oct 6.","Xiong J","Adv Mater","2021","2020/10/07","PMC11468729","","10.1002/adma.202002640"
"34917384","Skin care and hygiene among healthcare professionals during and after the SARS-CoV-2 pandemic","Rivers JK, Arlette JP, DeKoven J, Guenther LC, Muhn C, Richer V, Rosen N, Tremblay JF, Wiseman MC, Zip C, Zloty D.","SAGE Open Med. 2021 Dec 8;9:20503121211062795. doi: 10.1177/20503121211062795. eCollection 2021.","Rivers JK","SAGE Open Med","2021","2021/12/17","PMC8669117","","10.1177/20503121211062795"
"35572402","Applications of nanotechnology in smart textile industry: A critical review","Shah MA, Pirzada BM, Price G, Shibiru AL, Qurashi A.","J Adv Res. 2022 Jan 22;38:55-75. doi: 10.1016/j.jare.2022.01.008. eCollection 2022 May.","Shah MA","J Adv Res","2022","2022/05/16","PMC9091772","","10.1016/j.jare.2022.01.008"
"39274761","Design and Coupled Moisture-Thermal Transfer Simulation of Opposite Cross-Section Polyethylene Terephthalate Knitted Fabric with Hygroscopic Quick-Drying Capability","Lu C, Liu E, Li Y, Zhu G, Shao Y.","Materials (Basel). 2024 Sep 4;17(17):4370. doi: 10.3390/ma17174370.","Lu C","Materials (Basel)","2024","2024/09/14","PMC11396311","","10.3390/ma17174370"
"25875329","Characterizing the transplanar and in-plane water transport of textiles with gravimetric and image analysis technique: Spontaneous Uptake Water Transport Tester","Tang KP, Wu YS, Chau KH, Kan CW, Fan JT.","Sci Rep. 2015 Apr 15;5:9689. doi: 10.1038/srep09689.","Tang KP","Sci Rep","2015","2015/04/16","PMC4397916","","10.1038/srep09689"
"39498043","Fabrication of sustainable functional cotton fabric with silk sericin and chitosan for protective textiles","Mondal MIH, Sarker SC, Ahmed F, Pervez MN, Saha J.","Heliyon. 2024 Oct 11;10(20):e39250. doi: 10.1016/j.heliyon.2024.e39250. eCollection 2024 Oct 30.","Mondal MIH","Heliyon","2024","2024/11/05","PMC11532221","","10.1016/j.heliyon.2024.e39250"
